安徽频道,#genre#
CCTV6 电影,http://27.11.104.61:8004/rtp/225.0.4.144:7980$1920x1080
CCTV6 电影,http://27.11.104.61:8005/rtp/225.0.4.144:7980$1920x1080
CCTV6 电影,http://27.10.76.34:8006/rtp/225.0.4.144:7980$1920x1080
CCTV6 电影,http://27.11.55.179:8003/rtp/225.0.4.144:7980$1920x1080
CCTV6 电影,http://27.10.76.34:8007/rtp/225.0.4.144:7980$1920x1080
CCTV6 电影,http://27.11.49.234:8004/rtp/225.0.4.144:7980$1920x1080
CCTV6 电影,http://27.11.255.145:8003/rtp/225.0.4.144:7980$1920x1080
CCTV6 电影,http://27.10.78.25:8010/rtp/225.0.4.144:7980
CCTV6 电影,http://27.11.55.179:8005/rtp/225.0.4.144:7980
CCTV6 电影,http://211.158.152.202:8005/rtp/225.0.4.144:7980
CCTV6 电影,http://27.10.76.34:8001/rtp/225.0.4.144:7980
CCTV6 电影,http://27.11.247.37:66/rtp/225.0.4.144:7980
CCTV6 电影,http://27.11.104.61:8003/rtp/225.0.4.144:7980
CCTV6 电影,http://27.11.56.206:8010/rtp/225.0.4.144:7980
CCTV6 电影,http://27.10.76.34:8004/rtp/225.0.4.144:7980
CCTV7 国防军事,http://27.10.76.34:8006/rtp/225.0.4.127:7980$1920x1080
CCTV7 国防军事,http://27.11.104.61:8004/rtp/225.0.4.127:7980$1920x1080
CCTV7 国防军事,http://27.11.52.62:8002/rtp/225.0.4.127:7980$1920x1080
CCTV7 国防军事,http://27.11.55.179:8003/rtp/225.0.4.127:7980$1920x1080
CCTV7 国防军事,http://27.10.76.34:8002/rtp/225.0.4.127:7980$1920x1080
CCTV7 国防军事,http://27.11.49.234:8004/rtp/225.0.4.127:7980$1920x1080
CCTV7 国防军事,http://27.11.255.145:8003/rtp/225.0.4.127:7980$1920x1080
CCTV7 国防军事,http://27.10.78.25:8010/rtp/225.0.4.127:7980
CCTV7 国防军事,http://27.11.55.179:8005/rtp/225.0.4.127:7980
CCTV7 国防军事,http://211.158.152.202:8005/rtp/225.0.4.127:7980
CCTV7 国防军事,http://27.10.76.34:8001/rtp/225.0.4.127:7980
CCTV7 国防军事,http://27.11.247.37:66/rtp/225.0.4.127:7980
CCTV7 国防军事,http://27.11.104.61:8003/rtp/225.0.4.127:7980
CCTV7 国防军事,http://27.11.56.206:8010/rtp/225.0.4.127:7980
CCTV7 国防军事,http://27.10.76.34:8004/rtp/225.0.4.127:7980
CCTV8 电视剧,http://27.11.104.61:8005/rtp/225.0.4.137:7980$1920x1080
CCTV8 电视剧,http://27.11.55.179:8003/rtp/225.0.4.137:7980$1920x1080
CCTV8 电视剧,http://27.11.49.234:8004/rtp/225.0.4.137:7980$1920x1080
CCTV8 电视剧,http://27.10.76.34:8002/rtp/225.0.4.137:7980$1920x1080
CCTV8 电视剧,http://27.11.255.145:8003/rtp/225.0.4.137:7980$1920x1080
CCTV8 电视剧,http://27.10.78.25:8010/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.11.55.179:8005/rtp/225.0.4.137:7980
CCTV8 电视剧,http://211.158.152.202:8005/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.10.76.34:8001/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.11.247.37:66/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.11.104.61:8003/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.11.56.206:8010/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.10.76.34:8004/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.11.52.62:8005/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.11.49.234:8003/rtp/225.0.4.137:7980
CCTV9 记录,http://27.11.52.62:8001/rtp/225.0.4.131:7980$1920x1080
CCTV9 记录,http://27.11.104.61:8005/rtp/225.0.4.131:7980$1920x1080
CCTV9 记录,http://27.11.104.61:8004/rtp/225.0.4.131:7980$1920x1080
CCTV9 记录,http://27.11.55.179:8003/rtp/225.0.4.131:7980$1920x1080
CCTV9 记录,http://27.11.49.234:8004/rtp/225.0.4.131:7980$1920x1080
CCTV9 记录,http://27.11.255.145:8003/rtp/225.0.4.131:7980$1920x1080
CCTV9 记录,http://27.10.78.25:8010/rtp/225.0.4.131:7980
CCTV9 记录,http://27.11.55.179:8005/rtp/225.0.4.131:7980
CCTV9 记录,http://211.158.152.202:8005/rtp/225.0.4.131:7980
CCTV9 记录,http://27.10.76.34:8001/rtp/225.0.4.131:7980
