安徽频道,#genre#
CCTV6 电影,http://221.205.180.219:8005/rtp/226.0.2.210:9592$1920x1080
CCTV6 电影,http://123.146.40.167:8003/rtp/225.0.4.144:7980
CCTV6 电影,http://27.10.77.52:8005/rtp/225.0.4.144:7980
CCTV6 电影,http://113.206.128.173:8005/rtp/225.0.4.144:7980
CCTV6 电影,http://27.11.52.62:8003/rtp/225.0.4.144:7980
CCTV6 电影,http://27.11.60.108:8001/rtp/225.0.4.144:7980
CCTV6 电影,http://27.10.214.78:8001/rtp/225.0.4.144:7980
CCTV6 电影,http://123.145.42.143:58888/rtp/225.0.4.144:7980
CCTV6 电影,http://27.10.227.109:8001/rtp/225.0.4.144:7980
CCTV6 电影,http://27.11.59.255:8007/rtp/225.0.4.144:7980
CCTV6 电影,http://211.158.153.132:8004/rtp/225.0.4.144:7980
CCTV6 电影,http://123.144.180.82:55555/rtp/225.0.4.144:7980
CCTV6 电影,http://27.10.76.34:8006/rtp/225.0.4.144:7980
CCTV6 电影,http://211.158.154.62:8001/rtp/225.0.4.144:7980
CCTV7 国防军事,http://118.79.7.119:6001/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://171.118.109.218:8085/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://171.118.210.238:8083/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://171.118.210.200:8083/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://171.122.158.51:8084/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://171.122.158.51:8085/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://118.79.113.64:6000/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://171.117.124.55:8085/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://60.220.167.130:8085/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://171.127.71.107:8085/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://171.127.71.107:8084/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://171.116.36.42:8082/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://60.223.68.81:10000/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://118.81.201.116:8085/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://183.184.170.93:8002/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://183.185.220.133:8083/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://171.125.90.130:6000/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://221.205.180.219:8005/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://60.220.167.241:8083/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://171.117.70.185:8085/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://171.120.103.101:5555/rtp/226.0.2.159:9184$1920x1080
CCTV7 国防军事,http://123.146.40.167:8003/rtp/225.0.4.127:7980
CCTV7 国防军事,http://27.10.77.52:8005/rtp/225.0.4.127:7980
CCTV7 国防军事,http://113.206.128.173:8005/rtp/225.0.4.127:7980
CCTV7 国防军事,http://27.11.52.62:8003/rtp/225.0.4.127:7980
CCTV7 国防军事,http://27.11.60.108:8001/rtp/225.0.4.127:7980
CCTV7 国防军事,http://27.10.214.78:8001/rtp/225.0.4.127:7980
CCTV7 国防军事,http://123.145.42.143:58888/rtp/225.0.4.127:7980
CCTV7 国防军事,http://27.10.227.109:8001/rtp/225.0.4.127:7980
CCTV7 国防军事,http://27.11.59.255:8007/rtp/225.0.4.127:7980
CCTV8 电视剧,http://171.118.210.238:8083/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://171.118.109.218:8085/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://171.116.183.226:8084/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://60.220.167.241:8083/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://171.122.158.51:8084/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://171.118.210.200:8083/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://171.122.158.51:8085/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://60.220.167.130:8085/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://171.125.90.130:6000/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://171.127.71.107:8085/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://171.116.36.42:8082/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://171.117.70.185:8085/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://183.184.170.93:8002/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://60.223.68.81:10000/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://118.81.201.116:8085/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://183.185.220.133:8083/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://171.120.103.101:5555/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://221.205.180.219:8005/rtp/226.0.2.211:9600$1920x1080
CCTV8 电视剧,http://123.146.40.167:8003/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.10.77.52:8005/rtp/225.0.4.137:7980
CCTV8 电视剧,http://113.206.128.173:8005/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.11.52.62:8003/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.11.60.108:8001/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.10.214.78:8001/rtp/225.0.4.137:7980
CCTV8 电视剧,http://123.145.42.143:58888/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.10.227.109:8001/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.11.59.255:8007/rtp/225.0.4.137:7980
CCTV8 电视剧,http://211.158.153.132:8004/rtp/225.0.4.137:7980
CCTV8 电视剧,http://123.144.180.82:55555/rtp/225.0.4.137:7980
CCTV8 电视剧,http://27.10.76.34:8006/rtp/225.0.4.137:7980
CCTV9 记录,http://171.118.210.238:8083/rtp/226.0.2.161:9200$1920x1080
CCTV9 记录,http://171.118.210.200:8085/rtp/226.0.2.161:9200$1920x1080
CCTV9 记录,http://60.220.167.85:8082/rtp/226.0.2.161:9200$1920x1080
CCTV9 记录,http://60.220.167.241:8083/rtp/226.0.2.161:9200$1920x1080
CCTV9 记录,http://171.118.210.200:8083/rtp/226.0.2.161:9200$1920x1080
CCTV9 记录,http://171.117.124.55:8085/rtp/226.0.2.161:9200$1920x1080
CCTV9 记录,http://171.118.210.200:8082/rtp/226.0.2.161:9200$1920x1080
